,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SINCH.ST,Sinch,Teknik,46.38999938964844,1.6451307397507475,0.03546304723853576,0.4594110013592158,57.47179305120348,95145352.88754368,0.017324582060582516,0.035259941261666095,0.09204331190080484,0.42067530824055865,0.729476291295553,-0.6593594637028994,0.4485594966826339,0.0,0.0,0.0,0.15194480834607188,0.471,
TREL-B.ST,Trelleborg B,Industri,445.2000122070313,8.055623338733028,0.018094391549537788,0.19478694808174526,55.5553887935894,133450634.06483611,-0.001793694603068774,-0.0008976523586299301,0.023448303924209934,0.09829602263892044,0.7500087619339633,-0.27341311118298584,0.8142280879961457,0.0,0.0,0.0,0.14779116288584676,0.471,
SAND.ST,Sandvik,Industri,384.0,10.582834315068585,0.02755946436215777,0.3037761513207481,52.054101427375464,649481057.8693085,-0.021905262276659454,0.009994707182964246,0.05032821003639332,0.332486013892746,0.690664685044555,-0.3287937037791985,0.21833841262855214,0.0,0.0,0.0,0.12443959262584471,0.471,
SWED-A.ST,Swedbank A,Finans,384.5,5.209651156445103,0.013549157754083493,0.12564882993258447,59.26318577042769,522067029.4913727,0.006017759601019579,0.005491647847892134,0.014511873350923521,0.43414461673863236,0.7608978576674206,-0.3919066215867965,-0.04383644531050077,0.0,0.0,0.0,0.12177051423996442,0.378,
SEB-A.ST,SEB A,Finans,226.6000061035156,2.9417623291735184,0.012982181155942513,0.11590696896566274,62.72416972221473,434486464.69441605,0.010704768902505712,0.002211410820444959,0.024412338290117352,0.3373016663169497,0.7704788444353492,-0.411153551619547,-0.07827239854553027,0.0,0.0,0.0,0.10428135810823885,0.378,
SSAB-B.ST,SSAB B,Material,102.1500015258789,3.271030122438982,0.032021831361503134,0.4337095131465558,48.304870083072664,259567458.18750113,-0.01731597378746952,-0.012566413346669414,-0.02248802367579994,0.5483044419043168,0.3027047919402952,-0.04985863398235565,-0.11953687935305471,0.0,0.0,0.0,0.10007060385560432,0.378,
BOL.ST,Boliden,Material,546.7999877929688,20.294791155702,0.03711556621940906,0.4109359316943061,49.997022748361076,572758137.2587433,-0.042717128663538495,-0.004732501830276958,0.014471220395118278,0.47484382569400924,0.09672166030128704,-0.15253982048480066,0.25169085232318295,0.0,0.0,0.0,0.09910216807502031,0.471,
SHB-A.ST,Handelsbanken A,Finans,149.75,1.9142228041074896,0.012782790010734488,0.1180271996126084,59.359342545323635,512079755.43655014,0.00435944916080766,0.002007380782093282,0.018707482993197244,0.2660972577734504,0.7646599693540335,-0.35890768004723145,-0.06671789438167847,0.0,0.0,0.0,0.09539225388703455,0.378,
SKF-B.ST,SKF B,Industri,264.0,5.937246917508987,0.022489571657231013,0.24019710569590536,46.409166975665386,267281057.01763305,-0.017857098255025683,-0.022222222222222254,0.01734104046242768,0.011710590288019011,0.3116228984194054,0.07386657997445294,0.4762958264244069,0.0,0.0,0.0,0.07449268222652572,0.564,
SCA-B.ST,SCA B,Material,117.1999969482422,1.9731931704285295,0.016836119640002464,0.1400189113939898,68.86768314453276,202161048.2192463,-0.006358626701186809,0.027619410891684737,0.0712979461935217,-0.09565616434872377,0.6874127645861243,-0.7539651665050198,0.5018273435819087,0.0,0.0,0.0,0.07096026204343898,0.378,
GETI-B.ST,Getinge B,Halsovard,235.8000030517578,4.032129903337142,0.017099787324651113,0.13323053802213156,43.62210730957534,110111295.16785125,-0.009659819373368017,-0.034398009833983445,-0.014625992291537826,0.2017379862436702,0.3158663169223677,0.23580226238805205,-0.012510867130670896,0.0,0.0,0.0,0.06601312783899138,0.471,
NDA-SE.ST,Nordea,Finans,198.6999969482422,2.648756564974453,0.01333043082866482,0.11552387915801525,64.15102353666856,252188766.6089081,0.01119591322260649,-0.0005030488027185642,0.04167757246784887,0.2231832634638956,0.7688792526452296,-0.40562685603584425,-0.3351099343569319,0.0,0.0,0.0,0.0644200814113022,0.378,
BILL.ST,Billerud,Material,81.44999694824219,1.6462002531054472,0.020211176363229742,0.2009636426558449,67.54419625948317,31125752.521928024,0.006176652487333456,0.02776021385794558,0.04961338337403487,0.062765940562928,0.6228477648188796,-0.7355999424105847,0.20210420327358447,0.0,0.0,0.0,0.06355644394129352,0.471,
STOR-B.ST,Storskogen B,Industri,10.899999618530272,0.25091676361040266,0.02301988737539384,0.20349916256546563,54.75953897546389,27571979.840782404,-0.0022883818552053015,-0.013574712182391035,0.0177403902620501,0.14231700263561164,0.6715707461483329,-0.1362478412984537,-0.2199304335875995,0.0,0.0,0.0,0.0609632997478978,0.378,
LUND-B.ST,Lundbergforetagen B,Finans,580.0,8.576112058959636,0.014786400101654544,0.15830694958758867,53.67580753335869,75685130.275,-0.0034364261168384758,-0.0186125211505922,0.01754385964912286,0.059678055262821765,0.7504224634028005,-0.07028239925513033,-0.2073589655292325,0.0,0.0,0.0,0.05868317782871117,0.378,
SAVE.ST,Nordnet,Finans,341.79998779296875,7.375017049269822,0.021576996233648008,0.22240062544718198,35.11544326040314,70971167.87666932,-0.0005848310147112956,-0.05002779491576115,-0.04096522545888759,0.11459724277405567,-0.1397633561161415,0.5172542816914497,0.43750362548145283,0.0,0.0,0.0,0.05789330892594648,0.471,
TELIA.ST,Telia,Telekom,45.4900016784668,0.7156375913497713,0.015731755659365614,0.1378014674178608,61.73709624829385,233600249.58603993,0.01767339825600911,0.023166950409449383,0.054718306327523836,-0.04051115689941967,0.6391659723084393,-0.6035183381688372,0.19331670297092304,0.0,0.0,0.0,0.05238306210475787,0.378,
ATCO-B.ST,Atlas Copco B,Industri,174.5500030517578,3.4978654124230637,0.020039331717375403,0.21335072577978867,45.382326343934025,208021703.68019944,-0.01216748123155964,-0.0008585798460477578,-0.043037231948492405,0.22655365951940748,-0.08959798057378665,-0.12193777272752994,0.2353453187403082,0.0,0.0,0.0,0.04329360109043395,0.378,
CAST.ST,Castellum,Fastighet,129.85000610351562,1.8611025358107833,0.014332710422263082,0.11332605556991815,37.16440310351691,184623186.64381868,-0.011795950266099808,-0.02697632766618041,-0.05045699375856949,0.1460572404433277,-0.08849599338968647,0.2588545283066119,0.24011422971455132,0.0,0.0,0.0,0.04266155036638363,0.471,
EPI-A.ST,Epiroc A,Industri,254.1000061035156,6.78696366321938,0.02670981306649201,0.2779217352633177,45.05953115692365,339925110.71371233,-0.03677021280632409,-0.01967594854680066,-0.0015716852514121582,0.005094257409946817,0.26729749349930215,0.06884933911340749,0.17013229858647072,0.0,0.0,0.0,0.04248493289997777,0.564,
ATCO-A.ST,Atlas Copco A,Industri,201.5,4.289146244362942,0.02128608557996497,0.22757698810457092,47.13518662949251,719429830.7178437,-0.012738883026769399,0.004486509816056472,-0.04047619047619044,0.2879406608368583,0.31538512508860905,-0.20092863601220165,-0.2970254511132387,0.0,0.0,0.0,0.041512025447888956,0.378,
HOLM-B.ST,Holmen B,Material,321.20001220703125,5.155126967763533,0.016049585217452506,0.1314607382763611,48.5205613522784,51001802.908107,-0.001243762092329126,-0.009864308722750015,-0.006188118578160373,-0.19355981547956963,-0.17815772051372858,-0.07978281890182307,0.9746868524378896,0.0,0.0,0.0,0.0366100386053133,0.285,
NIBE-B.ST,NIBE B,Industri,44.02999877929688,1.143952201842097,0.02598119994452484,0.34874814879572774,68.97248881089027,345609046.066383,-0.01056182518433968,-0.006991460807943106,0.13158568367934098,0.05606368636310416,0.7301359682335548,-0.4134769996400428,-0.3806869955218161,0.0,0.0,0.0,0.031056023897697828,0.378,
INVE-B.ST,Investor B,Finans,402.75,4.95661691857791,0.012306932137996052,0.10151859195074425,40.046319162884714,888457841.8520294,0.00012413159039836863,-0.019595881285726202,-0.03625267795585829,0.2762945655281088,-0.08821845065996584,0.14289429676940074,-0.15877359092363116,0.0,0.0,0.0,0.02437825123577103,0.378,
BEIJ-B.ST,Beijer Ref B,Industri,137.89999389648438,3.0887506095770347,0.022398482569155352,0.2040658624313812,53.88449464482518,132062247.01187363,-0.01780626858034784,-0.0014483142519293724,0.029104432063316255,-0.2163281168880925,0.5825496506588037,-0.24302824331070405,0.058070047955010605,0.0,0.0,0.0,0.01899298042952527,0.378,
MTRS.ST,Munters,Industri,148.5,6.395932055059037,0.043070249529017085,0.3269936455269589,28.6356873873369,85094333.96680145,-0.04347826086956519,-0.07042253521126762,-0.19249589489606367,0.020539981765190396,-0.787205530488845,0.8155401618376183,0.7361100453506093,0.0,0.0,0.0,0.018168720002434566,0.471,
ALFA.ST,Alfa Laval,Industri,545.5999755859375,10.118999615799366,0.01854655437792541,0.18426285044853508,38.616650862062336,233796588.49740905,-0.011235977426946708,-0.017291131862428588,-0.0346780541361954,0.14007411340932058,-0.11649842883149351,0.1414587035416133,0.033031550762299064,0.0,0.0,0.0,0.01762478477563491,0.471,
ABB.ST,ABB,Industri,926.5999755859376,21.56262757884269,0.02327069733107592,0.2364020965535784,44.90629635125052,364456487.0075043,-0.001078050912375561,0.016008745160019267,-0.05564618420487044,0.18997402962945087,-0.1760810769039802,-0.2815282664202246,0.10334346598618387,0.0,0.0,0.0,0.013463549815426095,0.378,
SKA-B.ST,Skanska B,Industri,265.0,4.294243582059307,0.01620469276248795,0.16388908071331554,43.97067731058469,171026502.9156494,-0.014869888475836479,-0.01633256865690591,-0.007862246557574948,0.13080469491601215,-0.07298241840329836,0.05206154637600765,-0.016713639634673122,0.0,0.0,0.0,0.0132876025119531,0.378,
EVO.ST,Evolution,Sallankopsvaror,864.4000244140625,18.444652495190216,0.021338098072929843,0.2213948577817399,78.5241671713951,547751908.4934876,0.006286407932552418,0.02247456760267852,0.17254477767332044,-0.03471085140350619,0.7731696010023447,-0.7854161256328053,-0.40249535069667014,0.0,0.0,0.0,0.008370467203381554,0.285,
INDU-C.ST,Industrivarden C,Finans,529.4000244140625,8.317636131039572,0.015711438888287726,0.15932909807149656,47.010099619671315,177740299.90572205,-0.007870973320909691,-0.010837047198581029,-0.01781071537279688,0.300165467180405,-0.09813283735013498,-0.047621551859939416,-0.3248865992235027,0.0,0.0,0.0,0.00702154991533991,0.285,
