,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SSAB-B.ST,SSAB B,Material,97.45999908447266,3.4778131474203198,0.03568451857265004,0.436286356342562,42.61029383069027,276850266.6841141,0.024600465415510975,-0.09633750149882059,0.013519086656144985,0.5747448952595464,-0.14900664535744026,0.7738008555736902,0.6904575103076057,0.0,0.0,0.0,0.23323818808401986,0.471,
SAVE.ST,Nordnet,Finans,363.3999938964844,6.708189370456103,0.018459519766439378,0.16197143401045974,52.77088789320951,54303936.11550903,0.0038673864543767866,-0.002744237148050166,-0.011963007184658037,0.3915869785976276,0.7249887077166027,0.026416065416559685,-0.11964966141127982,0.0,0.0,0.0,0.2033041742779893,0.471,
SAAB-B.ST,Saab B,Industri,659.7999877929688,20.64331494256523,0.03128723147088427,0.2858673960304487,61.33717366766374,986492803.7390168,-0.010052531443407675,-0.04749534262203747,0.12440354723687452,0.32758024871738695,0.6584574162668166,0.2350896387152522,-0.05993477386172513,0.0,0.0,0.0,0.2011758997978082,0.471,
AZA.ST,Avanza Bank,Finans,397.2999877929688,7.674871733776173,0.019317573545397423,0.1266216308466717,54.412685315801156,84014846.80659637,0.002776313861804436,-0.006004564275117863,0.015592984140065047,0.21408452052750848,0.7506761363981376,0.0242559752145716,0.29232752014097774,0.0,0.0,0.0,0.18316452412010378,0.564,
ATCO-A.ST,Atlas Copco A,Industri,203.1000061035156,4.173809474509413,0.020550513781777607,0.2383325346617975,51.4353951043361,700021880.2582397,0.009443385606820787,-0.02543180397405098,0.010950782846537832,0.38943297117045145,0.3197475237899684,0.22908571498630131,0.13816829673818085,0.0,0.0,0.0,0.1751373576966473,0.564,
SHB-A.ST,Handelsbanken A,Finans,147.4499969482422,1.881159422734712,0.012757948197143982,0.12803075092042562,57.51746000757397,451796882.15841293,0.009585716311065307,-0.005731666122885781,0.032924672141801725,0.24789720712785754,0.7534226465685596,-0.03087802041945771,-0.13221864963383084,0.0,0.0,0.0,0.165288964243611,0.378,
SWED-A.ST,Swedbank A,Finans,375.8999938964844,5.082131603598086,0.013519903394831145,0.14233804850241508,52.19827823455856,443101981.8726593,0.009127500393246724,-0.012089372151158018,0.0164954199699181,0.4111906383442694,0.32820945176080263,0.11028090937559734,-0.16196614167407103,0.0,0.0,0.0,0.15495886120404392,0.471,
SINCH.ST,Sinch,Teknik,44.13999938964844,1.5048689455269921,0.03409308940497876,0.380417598483691,62.76321145658577,85866140.57599697,0.003866230707886942,-0.0036117347667640187,0.21631298638965668,0.26166586276341997,0.7603044660358994,-0.13718373926626765,-0.32180382959458353,0.0,0.0,0.0,0.14965357018988398,0.378,
ATCO-B.ST,Atlas Copco B,Industri,177.0,3.2475998607168433,0.018348021811959568,0.20716959743878458,50.266282954024184,209642979.5174324,0.008547008547008517,-0.02290915835667018,-0.00028242333180417134,0.3616398915434377,0.3216266181476437,0.22903029155531257,-0.24846666479599872,0.0,0.0,0.0,0.1491336615237373,0.471,
GETI-B.ST,Getinge B,Halsovard,243.6000061035156,4.028452408882971,0.016537160541659088,0.1307095941388152,71.01146214216438,96513670.33401565,-0.010158471913846445,0.014577259104654239,0.04459695236437611,0.32140909405507645,0.7529503887269012,-0.4221230061961355,-0.1475605266546684,0.0,0.0,0.0,0.14370450487045733,0.378,
SEB-A.ST,SEB A,Finans,220.8000030517578,3.0248768991967814,0.01369962344831906,0.14879307741490747,58.61870033533233,395933883.84998626,0.009602222829534934,-0.009421224325837474,0.013774104490196448,0.363611185514902,0.3331994848339921,-0.020412438403879685,-0.05429197428566446,0.0,0.0,0.0,0.13612687654915312,0.378,
MTRS.ST,Munters,Industri,178.85000610351562,6.21193161131623,0.03473263292885134,0.3755954639106745,50.57696982042501,64834146.69967651,0.01045201188426903,-0.03688740418577263,-0.042046014852923475,0.0511809795469895,0.5950102581784035,0.33456026468030475,-0.07745382762443648,0.0,0.0,0.0,0.13163011870031655,0.471,
SKA-B.ST,Skanska B,Industri,272.1000061035156,4.39528431071675,0.01615319445838102,0.15650073716907692,62.16384683021102,145147463.82022706,0.014541363605434343,0.019101146455114737,0.03185435535698611,0.1480716605074073,0.7606583721344823,-0.3070436967991529,0.1771756489615938,0.0,0.0,0.0,0.12927108371518856,0.471,
CAST.ST,Castellum,Fastighet,133.10000610351562,1.9873309161188346,0.014931110631003513,0.11730478990806363,48.8538571949536,154243337.0484497,-0.003742514799083052,-0.02276057939931231,0.028991108025143486,0.1008898135613171,0.33437908092638224,0.2519494917442163,0.5306676218121538,0.0,0.0,0.0,0.12710764579431594,0.564,
BOL.ST,Boliden,Material,559.5999755859375,17.468601517347672,0.03121622994900404,0.317354328335644,64.47425427196664,497469047.92166746,0.037448925208740436,0.06590471540178577,0.12754380284082178,0.4250341832032805,0.5306148021906805,-0.717556972115168,0.15005518432706455,0.0,0.0,0.0,0.12159782813425862,0.471,
