,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SWED-A.ST,Swedbank A,Finans,387.2999877929688,5.316105517201261,0.01372606683386467,0.12787783148063217,62.31943329157574,537420094.9572418,0.007282152907591266,0.0036278671122755846,0.01867431709095091,0.45809150969203943,0.7696520741807362,-0.4209128906843924,0.11932273528251709,0.0,0.0,0.0,0.13759124383718194,0.471,
SINCH.ST,Sinch,Teknik,46.15999984741211,1.5911927861720112,0.0344712476480049,0.4417611567244372,56.47272722192616,88905580.81761284,-0.004957955276189363,0.03917158375038521,0.08280550529793707,0.3862191892538793,0.7238414960256034,-0.7114185339364076,0.44914624817612453,0.0,0.0,0.0,0.13747348908097912,0.471,
TREL-B.ST,Trelleborg B,Industri,452.0,8.051650243109242,0.017813385493604516,0.19881232970247342,60.367476666108296,137361742.00281677,0.015274006303949816,0.0013292115897840517,0.03337907249027272,0.13126548635233426,0.7682737089245301,-0.3686495324532442,0.6603743888750832,0.0,0.0,0.0,0.13399331596640213,0.471,
SSAB-B.ST,SSAB B,Material,103.6500015258789,3.2480997263816764,0.03133718937351587,0.4377478575495646,51.636911969616506,258382882.66297036,0.01468428759269269,-0.0230913947547301,-0.03760441538647041,0.567551296930814,0.7198472754542504,0.014088821951598787,-0.3034620420153417,0.0,0.0,0.0,0.13001154090261124,0.471,
SEB-A.ST,SEB A,Finans,228.0,2.9530654559122387,0.012952041473299293,0.11687805621905134,65.25653568643762,450312152.0756294,0.0061782606300764265,0.0066225165562914245,0.027027027027026973,0.37632580354850553,0.7730935166538352,-0.49466310215803966,0.08768793048414268,0.0,0.0,0.0,0.12327924229446846,0.471,
SAND.ST,Sandvik,Industri,385.2000122070313,10.33406087138623,0.026827779189768145,0.30369764241232816,52.72529218380155,642355822.3372895,0.0031250317891440282,-0.012560865982616964,0.07417737214381748,0.29919001181742727,0.6946025744378727,-0.11250238720692167,0.06922323067288452,0.0,0.0,0.0,0.11471460088769152,0.471,
SHB-A.ST,Handelsbanken A,Finans,150.85000610351562,1.9203497466712403,0.012730193364085556,0.1195470917914331,62.83002979138347,527364427.2026619,0.007345616717967518,0.0003315852171479339,0.022018969279179457,0.30347295142199887,0.7730935166538352,-0.39351746007969557,-0.02276530569371863,0.0,0.0,0.0,0.10942343959281899,0.378,
BILL.ST,Billerud,Material,81.44999694824219,1.6571861672949018,0.02034605560940621,0.19704578905154346,67.54419625948317,33565168.74052696,0.0,0.0043156409458229295,0.06749664076672302,0.05297674705454547,0.6236334555640903,-0.5032235037614716,0.5096184077913282,0.0,0.0,0.0,0.09427624098260709,0.471,
NDA-SE.ST,Nordea,Finans,200.3000030517578,2.6452743891559654,0.013206561901411567,0.11760904145216884,67.44674778353766,260546943.87094957,0.00805237105228751,0.005774587951386856,0.044316996166607225,0.25507689011876533,0.7730935166538352,-0.5171956043850019,-0.1776729627685466,0.0,0.0,0.0,0.08919513450762939,0.378,
SCA-B.ST,SCA B,Material,116.5,1.928679263549427,0.016555186811583064,0.1391764922453031,65.18430065844774,210266467.92380103,-0.005972670362366372,0.004310344827586299,0.06587371223432381,-0.06501214644366557,0.6810799711985237,-0.46926319811131884,0.5341763802200161,0.0,0.0,0.0,0.08810387351271712,0.378,
GETI-B.ST,Getinge B,Halsovard,234.3999938964844,4.015549413938617,0.017131183952641064,0.13427425116775912,41.29256227300015,110369857.07752533,-0.005937273694462619,-0.030603842274102178,-0.022926219841311157,0.24182465110126133,0.3092424287026617,0.24186019151952853,0.05822120614626195,0.0,0.0,0.0,0.0751739452338843,0.564,
SAVE.ST,Nordnet,Finans,343.3999938964844,7.162515395499433,0.02085764566920326,0.2139322707755847,37.08171566397416,77561193.01013641,0.0046811180826746845,-0.03485102395141071,-0.042920831718005314,0.12748730954643067,-0.13402944087629287,0.3471074799606838,0.8978704861479917,0.0,0.0,0.0,0.07260495162193972,0.471,
LUND-B.ST,Lundbergforetagen B,Finans,580.0,8.356389769033948,0.01440756856729991,0.15233011018236708,53.67580753335869,74010564.125,0.0,-0.016115351993214566,0.038495971351835356,0.04422543106120963,0.7504767853687323,-0.08870669138223619,-0.18987727611263566,0.0,0.0,0.0,0.07140033602824702,0.378,
BOL.ST,Boliden,Material,550.0,19.816590043575967,0.036030163715592665,0.41018261173463894,51.016313875034044,573758493.1541046,0.005852253618269687,0.004382805918671684,0.04206141098991334,0.41536075586770504,0.1037331265461378,-0.26647591662738945,0.10471588317200967,0.0,0.0,0.0,0.06355975909412177,0.471,
SKF-B.ST,SKF B,Industri,269.20001220703125,5.891728408613256,0.021886062932575785,0.24954295855017922,52.08081445175859,274199898.98487246,0.01969701593572437,-0.0193077879525273,0.030233542989377415,0.03233280013661347,0.3346288557962732,-0.03215452810884569,0.31772874025148534,0.0,0.0,0.0,0.06093590552352492,0.471,
TELIA.ST,Telia,Telekom,45.47999954223633,0.7173776108083257,0.015773474450942158,0.13099439079238043,61.60993949811364,236096938.96031722,-0.00021987548607194096,0.02501691767123093,0.049377004663454294,-0.04701320175749836,0.6396202296770997,-0.6360845230083367,0.1520064240067578,0.0,0.0,0.0,0.05519870836133886,0.378,
NIBE-B.ST,NIBE B,Industri,44.56999969482422,1.1293840893325893,0.02533955793281599,0.3473401940964542,71.50523640759039,351774344.9777157,0.012264386338826094,0.013876265310638347,0.1615845956614652,0.10118840133436333,0.744684723229083,-0.66086671617325,-0.29334374658910634,0.0,0.0,0.0,0.05453916802205146,0.378,
SKA-B.ST,Skanska B,Industri,266.20001220703125,4.208940905020473,0.01581119726526181,0.16479848339900588,46.09035559995015,170497914.6003601,0.0045283479510613844,-0.020963522682619806,-0.0033695015946033635,0.1577458122911053,0.33250084176078976,0.07135568196035237,-0.11717713120345567,0.0,0.0,0.0,0.05017882382688543,0.471,
ATCO-A.ST,Atlas Copco A,Industri,202.8000030517578,4.254206354977647,0.02097734857475276,0.22882995367346778,49.15884414542771,727527849.6697708,0.006451628048425917,0.0049554013125734375,-0.032904120156889705,0.27074167237974256,0.3231092456642245,-0.24582286991904992,-0.22772799582825237,0.0,0.0,0.0,0.046928559815242625,0.378,
ATCO-B.ST,Atlas Copco B,Industri,175.14999389648438,3.480160740107131,0.019869602405832486,0.21327483183652424,46.56586689390561,216449141.3008644,0.0034373579732831505,-0.004546763658047404,-0.04027400604666098,0.20596168741974571,-0.08535188950209749,-0.10845050455649201,0.3517826233461362,0.0,0.0,0.0,0.03772815904888483,0.378,
EPI-A.ST,Epiroc A,Industri,254.6999969482422,6.830752626937527,0.026818817074134516,0.27774296185519354,45.69389606094904,345191260.6633705,0.0023612390016320983,-0.028974423173535047,0.02412545264827126,-0.034146485222063025,0.27044902850706454,0.16145813619721933,0.0715982721279382,0.0,0.0,0.0,0.034413238516076076,0.471,
EVO.ST,Evolution,Sallankopsvaror,875.2000122070312,18.07003533175029,0.020646749405524193,0.2175426133226746,80.70382762928007,548557398.8985443,0.012494201166051155,0.034515380859375,0.18622936661340495,0.001855853141145558,0.7730935166538352,-0.9388934524719712,-0.35277954986697074,0.0,0.0,0.0,0.0329232769522583,0.378,
CAST.ST,Castellum,Fastighet,130.25,1.8924525726641426,0.014529386354427198,0.11495917319482749,39.41732518290375,178904243.8624939,0.0030804303248588294,-0.019939759354304032,-0.04718359248160264,0.15675555985080705,-0.08466428506245068,0.15643993744767756,0.08685319394068083,0.0,0.0,0.0,0.021201979230983832,0.471,
HOLM-B.ST,Holmen B,Material,321.3999938964844,5.1869040488886835,0.016138469655849676,0.12803651078307973,48.90507824393788,50818076.5105957,0.0006226079758808734,-0.015921653735006647,-0.001863372992284562,-0.1862888103484965,-0.17670338999192806,-0.02220675390792858,0.9134324159728793,0.0,0.0,0.0,0.018436818373050494,0.285,
ALFA.ST,Alfa Laval,Industri,548.2000122070312,9.796212185094946,0.017869777393210533,0.18269528402372648,40.876460040660646,236712885.23396912,0.004765463228442179,-0.013673939821618797,-0.025941677154599052,0.14357871431773223,-0.11069463573841162,0.06945705675289998,0.14390645769431049,0.0,0.0,0.0,0.01807018266507421,0.471,
