,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SSAB-B.ST,SSAB B,Material,106.75,3.3408995992086195,0.03129648336495194,0.4404365567673842,59.07304498040955,273113800.5131302,0.0061263104168418625,0.02693605708475344,0.046055823691239395,0.6456645746615794,0.7367659122111645,-0.385288184320875,0.03403322026267548,0.0,0.0,0.0,0.21166310065237257,0.471,
SINCH.ST,Sinch,Teknik,48.11000061035156,1.6617287453880314,0.03454019381222968,0.4524803633344758,65.92763160237743,92490604.28853741,0.08307074726504582,0.03306851890957807,0.08870790010102625,0.5224190193430905,0.7554670904501927,-0.5574711557161601,-0.05804191857931641,0.0,0.0,0.0,0.16644012867157845,0.378,
BOL.ST,Boliden,Material,550.0,17.456763305429007,0.03173956964623456,0.30707546242604417,53.556934644555554,547183382.9456146,0.004382805918671684,-0.025858973108855987,0.056879274014764336,0.3492640807207952,0.48311983036695894,0.22117671537534692,-0.009793607199166362,0.0,0.0,0.0,0.15702524160589096,0.471,
ATCO-A.ST,Atlas Copco A,Industri,205.6999969482422,4.083166490115997,0.01985010476759217,0.20349438674664946,54.45662732099316,704725099.1188323,0.01932603487366702,-0.001456325493970012,-0.01860691336691711,0.2897628538997802,0.7217747048604648,-0.03212626586798766,0.00969004826090793,0.0,0.0,0.0,0.15551383649075773,0.471,
STOR-B.ST,Storskogen B,Industri,11.0600004196167,0.2674058867741553,0.024177746530630116,0.20852524374337397,60.083193863007196,35898403.793600515,-0.01688885158962672,-0.004500381512657969,0.032197877938945574,0.20573315465201425,0.6698660106399392,-0.09448885596436346,0.39645730074332514,0.0,0.0,0.0,0.15158978725400749,0.471,
INDU-C.ST,Industrivarden C,Finans,535.2000122070312,7.761127973523166,0.01450135985893986,0.17324722484660637,52.10503130256447,195643831.08053285,-0.0011197752885528933,-0.0052044382768935415,-0.030083319958618238,0.2890667192515578,0.6964623607251449,0.043019431590827995,-0.09726224109570407,0.0,0.0,0.0,0.15068402988123786,0.471,
LUND-B.ST,Lundbergforetagen B,Finans,586.5,8.42960923522314,0.01437273526892266,0.17642163491550433,60.24960343747504,76969921.45,-0.0050890585241730735,-0.003398470688190325,0.005141388174807249,0.10483439727016325,0.7461121948574982,-0.10798628163083282,0.5462198070292626,0.0,0.0,0.0,0.14777401571110296,0.471,
ATCO-B.ST,Atlas Copco B,Industri,178.85000610351562,3.3276470772419704,0.01860579795180985,0.191644629011736,53.62696041378686,201211522.53581238,0.016482007420133726,0.002522490036027447,-0.020268402554850407,0.23579735612434996,0.7210794162642828,-0.057441160391126254,0.019252642425671585,0.0,0.0,0.0,0.14192727367547378,0.471,
SWED-A.ST,Swedbank A,Finans,388.3999938964844,5.1658103490040626,0.013300232827451703,0.11738361845845514,67.33292886056944,506309428.37340087,0.006478362372482005,0.03242950902069386,0.010405827428491499,0.4429224646280448,0.7554670904501927,-0.5742325651413457,-0.17760382612577397,0.0,0.0,0.0,0.1389976142267141,0.378,
SAND.ST,Sandvik,Industri,393.2999877929688,9.490398921425767,0.024130178530342255,0.2767671326449664,60.379970449958414,632732597.5427765,0.008202977798990485,0.023152950150361118,0.07664933187971745,0.30581977149012457,0.7002721446865138,-0.3697007067310744,0.042968695202564564,0.0,0.0,0.0,0.13221017400173332,0.471,
