,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
LUND-B.ST,Lundbergforetagen B,Finans,569.0,7.513836810517985,0.013205337101086088,0.139350737065042,55.01834781589476,48303392.525,-0.0008779631255487752,0.03266787658802173,0.011555555555555541,0.08387779352665078,0.7157756187768545,-0.05226782674917868,0.2663143077151886,0.0,0.0,0.0,0.13642472390903243,0.471,
SKA-B.ST,Skanska B,Industri,272.1000061035156,4.1344527654461904,0.015194607396933726,0.14815307935605776,62.29406212768738,148710485.06477204,0.0044297240091109025,0.03657145182291677,0.029122588444710384,0.1071032356603088,0.7476569403429537,-0.20653050158819056,0.20829039035488606,0.0,0.0,0.0,0.12868581932544548,0.471,
VOLV-B.ST,Volvo B,Industri,347.8999938964844,6.063201560290883,0.017428001341370975,0.15450121000522354,51.83331233764126,969367565.1778778,0.002593642352980874,0.02263369022093764,-0.021378357534502457,0.18720426199211537,0.2810944681310859,0.07632603025789689,0.5551524825261814,0.0,0.0,0.0,0.12435546286979049,0.564,
INVE-B.ST,Investor B,Finans,414.1499938964844,4.7101847885315955,0.011373137409025033,0.11023710807114367,57.28319412783332,845944085.0071732,0.00387833268902793,0.006806825699339214,0.02639403691817699,0.2814622864046339,0.3254991978925659,0.09830609178597863,-0.10255858487140797,0.0,0.0,0.0,0.1238931312200708,0.471,
ATCO-B.ST,Atlas Copco B,Industri,179.0,3.240733420706256,0.018104655981599195,0.20213320233872212,54.04167791961978,202134744.74841994,0.01158521100374732,0.012157160431342628,-0.006107751617084212,0.32907403292122167,0.3212691158432089,0.11503527954915146,-0.3925637964469383,0.0,0.0,0.0,0.122334213739355,0.471,
BOL.ST,Boliden,Material,566.5999755859375,16.810821202618804,0.02966964688841408,0.32433343396502073,65.4571030268618,528325698.3738266,-0.004567878716327356,0.09340015870082508,0.17698376146588335,0.36071954985565935,0.5322827045958317,-0.6779655673842169,0.34427252360920985,0.0,0.0,0.0,0.11943936259532839,0.471,
CAST.ST,Castellum,Fastighet,133.9499969482422,1.9447063799810576,0.014518151730398958,0.10942689265602298,52.41807836121654,159929358.67295837,0.00037343580311488545,-0.009611852508375707,0.02722395105766573,0.09874044162938346,0.32867201371290755,0.3027382168426691,0.2679211455404365,0.0,0.0,0.0,0.11765579142557074,0.564,
HM-B.ST,H&M B,Sallankopsvaror,183.8000030517578,3.3243313204668565,0.01808667717775135,0.22623910569076186,64.88996192925453,281316668.04228437,-0.0037940213996866534,0.022815838470473304,0.12004872769971309,0.18816053017279083,0.7147831946860724,-0.15046199086200812,-0.5346129948982049,0.0,0.0,0.0,0.11248076291499753,0.378,
INDU-C.ST,Industrivarden C,Finans,534.4000244140625,8.391734082028028,0.015703094495979973,0.18580694706535247,53.307039996082864,194757836.76296693,0.006024119227211244,0.031262083800490226,0.006403059160193125,0.308758687539337,0.2966523684207806,-0.012407314708753128,-0.22284204948589048,0.0,0.0,0.0,0.10930469320278151,0.378,
SAND.ST,Sandvik,Industri,392.6000061035156,9.03779254478728,0.02302035762680124,0.2561118735884184,65.18257412260957,537822868.8664856,0.01420821470751732,0.10002805496652867,0.12267655818978485,0.28087933952011285,0.6997733446422759,-0.7218384542571002,0.05047884966934609,0.0,0.0,0.0,0.10552593363412688,0.471,
INDT.ST,Indutrade,Industri,245.1999969482422,5.0426486180603955,0.020565451389972154,0.17294807175210794,62.35663761278878,69703394.41616134,0.0016339619750731504,0.024227248118751765,0.011551167996124212,0.15276841392120502,0.680985571401047,-0.1170707074787808,-0.5720559113271466,0.0,0.0,0.0,0.1000300728762229,0.378,
SKF-B.ST,SKF B,Industri,271.70001220703125,4.842374678458389,0.017822504456748326,0.1759978431468832,66.04564736314595,200236280.44841918,0.013049962120427638,0.04419676964061736,0.06132817268371582,0.06518770555911876,0.7513002536752718,-0.32723891211298484,0.047990167011167366,0.0,0.0,0.0,0.09866758158033033,0.471,
