date,open,high,low,close,adjclose,volume
2024-08-13,1000.0,1011.0,988.2000122070312,1007.0,1002.7471923828124,447279.0
2024-08-14,1015.0,1022.5,1005.0,1009.5,1005.2366333007812,339674.0
2024-08-15,1013.0,1033.0,1012.5,1025.5,1021.1690673828124,345504.0
2024-08-16,1029.5,1040.5,1028.0,1035.0,1030.62890625,352330.0
2024-08-19,1035.5,1041.5,1032.5,1041.5,1037.1015625,289113.0
2024-08-20,1043.0,1050.5,1039.5,1043.5,1039.093017578125,309856.0
2024-08-21,1040.0,1053.5,1040.0,1049.0,1044.56982421875,328785.0
2024-08-22,1048.0,1063.5,1046.5,1062.0,1057.514892578125,357634.0
2024-08-23,1057.5,1069.0,1055.5,1062.0,1057.514892578125,356171.0
2024-08-26,1059.5,1073.0,1059.5,1068.0,1063.4896240234375,306026.0
2024-08-27,1070.5,1074.5,1059.0,1065.5,1061.0001220703125,371843.0
2024-08-28,1066.5,1073.5,1055.0,1055.5,1051.0423583984375,336297.0
2024-08-29,1055.5,1069.0,1055.0,1067.0,1062.4937744140625,287099.0
2024-08-30,1066.0,1069.5,1062.0,1066.5,1061.9959716796875,616592.0
2024-09-02,1064.0,1066.0,1045.5,1056.5,1052.0382080078125,209203.0
2024-09-03,1056.5,1062.5,1040.0,1040.0,1035.6077880859375,325686.0
2024-09-04,1020.0,1025.5,1009.5,1016.5,1012.2070922851562,807523.0
2024-09-05,1016.5,1021.5,1007.5,1015.0,1010.7134399414062,293849.0
2024-09-06,1012.0,1014.5,993.7999877929688,993.7999877929688,989.6029663085938,471523.0
2024-09-09,1004.0,1016.5,1001.0,1009.5,1005.2366333007812,234170.0
2024-09-10,1008.0,1013.0,992.7999877929688,1001.5,997.2704467773438,506638.0
2024-09-11,1000.0,1020.0,999.7999877929688,1005.5,1001.2535400390624,323623.0
2024-09-12,1018.5,1023.5,1006.0,1008.0,1003.7429809570312,445796.0
2024-09-13,1012.0,1018.0,1008.5,1010.5,1006.232421875,195329.0
2024-09-16,1009.0,1016.0,1000.5,1001.0,996.7725219726562,268313.0
2024-09-17,1001.0,1009.5,1000.0,1004.5,1000.2577514648438,414973.0
2024-09-18,1006.0,1006.5,997.4000244140624,999.7999877929688,995.5775756835938,382801.0
2024-09-19,1010.0,1021.0,1006.5,1010.0,1005.7345581054688,564201.0
2024-09-20,1010.0,1014.5,996.4000244140624,1000.5,996.274658203125,1031473.0
2024-09-23,1000.5,1009.5,998.0,998.0,993.7852172851562,306389.0
2024-09-24,1004.0,1009.5,985.4000244140624,993.5999755859376,989.4037475585938,611567.0
2024-09-25,992.7999877929688,1008.0,987.4000244140624,1001.0,996.7725219726562,597978.0
2024-09-26,1009.5,1023.5,1007.5,1008.5,1004.2408447265624,565542.0
2024-09-27,1008.5,1021.0,1006.5,1018.5,1014.1986694335938,387888.0
2024-09-30,1017.0,1033.0,998.0,998.0,993.7852172851562,452942.0
2024-10-01,1005.0,1008.5,993.2000122070312,997.0,992.7894287109376,467305.0
2024-10-02,997.0,1001.5,982.4000244140624,991.0,986.8147583007812,839099.0
2024-10-03,991.0,995.7999877929688,980.7999877929688,987.7999877929688,983.6282958984376,468114.0
2024-10-04,990.2000122070312,1002.5,989.7999877929688,995.7999877929688,991.594482421875,386819.0
2024-10-07,1002.0,1003.0,978.0,990.0,985.8190307617188,544311.0
2024-10-08,981.0,988.0,974.4000244140624,980.5999755859376,976.4586791992188,574582.0
2024-10-09,976.5999755859376,979.5999755859376,954.0,963.4000244140624,959.3313598632812,821113.0
2024-10-10,963.4000244140624,965.2000122070312,948.4000244140624,965.0,960.924560546875,608040.0
2024-10-11,965.5999755859376,976.2000122070312,962.7999877929688,972.0,967.89501953125,642608.0
